description,description_count,UnitPrice,total_quantity,Profit
"REGENCY CAKESTAND 3 TIER",25,10.95,684,7489.80
"WHITE HANGING HEART T-LIGHT HOLDER",50,2.55,2132,5436.60
"ROTATING SILVER ANGELS T-LIGHT HLDR",1,1.66,3120,5179.20
"COLOUR GLASS. STAR T-LIGHT HOLDER",20,2.75,1834,5043.50
"REGENCY CAKESTAND 3 TIER",104,12.75,296,3774.00
"WHITE HANGING HEART T-LIGHT HOLDER",153,2.95,1022,3014.90
"ASSORTED COLOUR BIRD ORNAMENT",100,1.69,1746,2950.74
"PACK OF 12 PINK PAISLEY TISSUES ",1,0.25,10000,2500.00
"SET 7 BABUSHKA NESTING BOXES",8,7.65,294,2249.10
"PAPER CHAIN KIT 50'S CHRISTMAS ",9,2.55,840,2142.00
"EDWARDIAN PARASOL BLACK",9,4.95,412,2039.40
"JUMBO BAG STRAWBERRY",10,1.65,1230,2029.50
"JUMBO BAG RED RETROSPOT",10,1.65,1220,2013.00
"ASSORTED COLOUR BIRD ORNAMENT",11,1.45,1336,1937.20
"UTILTY CABINET WITH HOOKS",1,19.94,96,1914.24
"HOME BUILDING BLOCK WORD",92,5.95,316,1880.20
"EDWARDIAN PARASOL PINK",1,3.00,600,1800.00
"VINTAGE UNION JACK BUNTING",53,8.50,208,1768.00
"PARTY BUNTING",6,3.75,440,1650.00
"VINTAGE UNION JACK MEMOBOARD",3,8.50,192,1632.00
POSTAGE,30,18.00,90,1620.00
Manual,1,1508.65,1,1508.65
"HANGING JAM JAR T-LIGHT HOLDER",36,0.85,1759,1495.15
"PACK OF 12 SKULL TISSUES",2,0.25,5616,1404.00
"PINK HAPPY BIRTHDAY BUNTING",3,4.65,300,1395.00
"JUMBO SHOPPER VINTAGE RED PAISLEY",8,1.65,836,1379.40
"DOORMAT FRIENDSHIP ",1,4.58,300,1374.00
"DOORMAT MULTICOLOUR STRIPE",1,4.58,300,1374.00
"TRAVEL SEWING KIT",2,1.45,944,1368.80
"JUMBO BAG RED RETROSPOT",67,1.95,699,1363.05
