CustomerID,num_purchases,total_spending,customer_segment,avg_price_per_item
12346,1,7.49,"Low Spender",7.49
12347,2,49.85,"Low Spender",24.93
12349,2,267.50,"Medium Spender",133.75
12351,1,21.00,"Low Spender",21.00
12353,1,15.00,"Low Spender",15.00
12355,1,29.70,"Low Spender",29.70
12356,2,549.42,"High Spender",274.71
12357,1,451.14,"Medium Spender",451.14
12358,2,486.45,"Medium Spender",243.23
12359,5,157.85,"Medium Spender",31.57
12360,2,86.30,"Low Spender",43.15
12361,1,15.30,"Low Spender",15.30
12368,1,157.70,"Medium Spender",157.70
12369,1,194.46,"Medium Spender",194.46
12370,2,63.50,"Low Spender",31.75
12371,3,122.88,"Medium Spender",40.96
12374,1,103.20,"Medium Spender",103.20
12377,2,153.75,"Medium Spender",76.88
12378,1,150.36,"Medium Spender",150.36
12379,2,95.80,"Low Spender",47.90
12380,5,2057.21,"High Spender",411.44
12385,1,60.00,"Low Spender",60.00
12386,1,19.80,"Low Spender",19.80
12387,1,19.80,"Low Spender",19.80
12388,2,27.35,"Low Spender",13.68
12389,1,136.80,"Medium Spender",136.80
12391,4,212.32,"Medium Spender",53.08
12392,1,19.90,"Low Spender",19.90
12393,2,101.90,"Medium Spender",50.95
12395,3,57.60,"Low Spender",19.20
12396,1,27.04,"Low Spender",27.04
12399,2,45.00,"Low Spender",22.50
12400,1,17.70,"Low Spender",17.70
12402,3,89.10,"Low Spender",29.70
12406,1,98.50,"Low Spender",98.50
12408,2,116.88,"Medium Spender",58.44
12409,2,854.98,"High Spender",427.49
12412,3,77.91,"Low Spender",25.97
12413,1,84.65,"Low Spender",84.65
12415,4,1921.76,"High Spender",480.44
12416,1,45.00,"Low Spender",45.00
12417,8,240.85,"Medium Spender",30.11
12418,3,102.09,"Medium Spender",34.03
12421,1,32.70,"Low Spender",32.70
12422,8,418.98,"Medium Spender",52.37
12423,2,70.30,"Low Spender",35.15
12424,2,196.48,"Medium Spender",98.24
12425,1,58.02,"Low Spender",58.02
12426,1,72.95,"Low Spender",72.95
12429,2,65.56,"Low Spender",32.78
12431,5,222.33,"Medium Spender",44.47
12433,4,458.58,"Medium Spender",114.65
12434,1,41.44,"Low Spender",41.44
12435,3,273.00,"Medium Spender",91.00
12437,13,441.83,"Medium Spender",33.99
12439,1,71.55,"Low Spender",71.55
12440,1,40.00,"Low Spender",40.00
12441,1,15.00,"Low Spender",15.00
12443,1,15.00,"Low Spender",15.00
12445,1,17.70,"Low Spender",17.70
12450,1,60.20,"Low Spender",60.20
12451,3,265.88,"Medium Spender",88.63
12454,2,842.40,"High Spender",421.20
12455,3,149.03,"Medium Spender",49.68
12457,1,24.80,"Low Spender",24.80
12458,2,53.10,"Low Spender",26.55
