CustomerID,total_spending,customer_segment
18102,19483.32,"High Spender"
14646,14353.46,"High Spender"
14156,12104.32,"High Spender"
13694,11259.11,"High Spender"
14911,11097.42,"High Spender"
16684,8762.96,"High Spender"
17511,7331.06,"High Spender"
15061,6539.20,"High Spender"
15838,5766.70,"High Spender"
17450,4958.24,"High Spender"
13093,4565.11,"High Spender"
17940,4296.00,"High Spender"
16029,4287.00,"High Spender"
13089,4201.22,"High Spender"
15311,3957.96,"High Spender"
17850,3672.77,"High Spender"
14298,3254.53,"High Spender"
13902,3118.28,"High Spender"
16754,2910.09,"High Spender"
13798,2789.94,"High Spender"
12709,2608.04,"High Spender"
18251,2455.88,"High Spender"
16422,2349.64,"High Spender"
16779,2243.04,"High Spender"
15523,2221.47,"High Spender"
16705,2189.06,"High Spender"
14680,2181.78,"High Spender"
13081,2179.15,"High Spender"
14031,2178.32,"High Spender"
13881,2127.19,"High Spender"
17949,2085.00,"High Spender"
12380,2057.21,"High Spender"
17389,1965.64,"High Spender"
12415,1921.76,"High Spender"
17841,1890.07,"High Spender"
15513,1848.32,"High Spender"
14277,1769.32,"High Spender"
13408,1708.28,"High Spender"
12931,1687.02,"High Spender"
15856,1649.34,"High Spender"
17677,1603.75,"High Spender"
17920,1586.68,"High Spender"
12482,1582.80,"High Spender"
12471,1575.52,"High Spender"
14088,1551.91,"High Spender"
17428,1541.53,"High Spender"
13340,1530.10,"High Spender"
14258,1492.92,"High Spender"
14527,1489.12,"High Spender"
15498,1471.53,"High Spender"
12921,1469.54,"High Spender"
15769,1442.40,"High Spender"
13767,1378.13,"High Spender"
13802,1373.49,"High Spender"
16019,1353.08,"High Spender"
13564,1336.27,"High Spender"
18194,1326.00,"High Spender"
12748,1310.27,"High Spender"
16191,1273.74,"High Spender"
15039,1263.93,"High Spender"
17448,1215.33,"High Spender"
17404,1206.96,"High Spender"
14606,1202.99,"High Spender"
12681,1126.24,"High Spender"
17044,1115.28,"High Spender"
14543,1106.25,"High Spender"
15768,1099.33,"High Spender"
17675,1088.95,"High Spender"
13687,1073.28,"High Spender"
13078,1071.99,"High Spender"
14895,1041.63,"High Spender"
18172,1038.16,"High Spender"
14134,1034.90,"High Spender"
13777,1028.88,"High Spender"
17133,1008.73,"High Spender"
15808,1000.27,"High Spender"
12857,1000.25,"High Spender"
15093,990.05,"High Spender"
17381,980.56,"High Spender"
17369,979.20,"High Spender"
16013,972.75,"High Spender"
14062,966.53,"High Spender"
17243,962.34,"High Spender"
13935,962.10,"High Spender"
12497,959.48,"High Spender"
14299,957.55,"High Spender"
12647,952.25,"High Spender"
17716,928.50,"High Spender"
17377,919.73,"High Spender"
17865,907.59,"High Spender"
13225,904.97,"High Spender"
16843,894.54,"High Spender"
12472,893.32,"High Spender"
13001,883.21,"High Spender"
15382,863.70,"High Spender"
12409,854.98,"High Spender"
15389,854.80,"High Spender"
14308,849.45,"High Spender"
16652,848.84,"High Spender"
12454,842.40,"High Spender"
13448,828.02,"High Spender"
12481,823.92,"High Spender"
12477,806.41,"High Spender"
15251,802.90,"High Spender"
13319,801.34,"High Spender"
18061,787.59,"High Spender"
17706,783.20,"High Spender"
12758,779.19,"High Spender"
13027,777.60,"High Spender"
12949,776.94,"High Spender"
16713,776.89,"High Spender"
16133,775.98,"High Spender"
17857,766.70,"High Spender"
15291,766.50,"High Spender"
12823,765.00,"High Spender"
12971,751.70,"High Spender"
17416,748.60,"High Spender"
14160,746.34,"High Spender"
12621,745.90,"High Spender"
14667,745.87,"High Spender"
12540,726.95,"High Spender"
13680,719.97,"High Spender"
17230,717.61,"High Spender"
17589,708.18,"High Spender"
12583,704.08,"High Spender"
13206,691.89,"High Spender"
16746,685.74,"High Spender"
12682,673.27,"High Spender"
13050,670.70,"High Spender"
12524,659.40,"High Spender"
15296,655.86,"High Spender"
13468,650.31,"High Spender"
15078,647.16,"High Spender"
17146,641.31,"High Spender"
14426,636.10,"High Spender"
14439,632.40,"High Spender"
13162,632.32,"High Spender"
16525,623.23,"High Spender"
12678,618.30,"High Spender"
13174,617.85,"High Spender"
13082,615.78,"High Spender"
17581,615.06,"High Spender"
14063,613.60,"High Spender"
15640,613.50,"High Spender"
17809,612.40,"High Spender"
14016,612.31,"High Spender"
12476,611.17,"High Spender"
15497,609.89,"High Spender"
15005,607.60,"High Spender"
16161,602.96,"High Spender"
16550,602.44,"High Spender"
16782,597.39,"High Spender"
13488,589.14,"High Spender"
15358,586.96,"High Spender"
15218,584.20,"High Spender"
14110,581.96,"High Spender"
17858,577.37,"High Spender"
15854,575.40,"High Spender"
13715,575.36,"High Spender"
16549,568.70,"High Spender"
13418,565.83,"High Spender"
13047,565.76,"High Spender"
16701,564.06,"High Spender"
12980,559.20,"High Spender"
15615,558.33,"High Spender"
15044,556.22,"High Spender"
15369,554.40,"High Spender"
13178,550.60,"High Spender"
12356,549.42,"High Spender"
16984,548.45,"High Spender"
13069,547.95,"High Spender"
15555,541.95,"High Spender"
16656,539.76,"High Spender"
17160,537.78,"High Spender"
12557,537.66,"High Spender"
18087,534.14,"High Spender"
13952,533.43,"High Spender"
16923,531.87,"High Spender"
17876,530.00,"High Spender"
16327,528.17,"High Spender"
12714,521.16,"High Spender"
15332,517.40,"High Spender"
16276,517.06,"High Spender"
16985,513.80,"High Spender"
17897,509.35,"High Spender"
14961,505.37,"High Spender"
14040,500.32,"High Spender"
16814,497.52,"Medium Spender"
13381,496.68,"Medium Spender"
14159,496.03,"Medium Spender"
16182,495.00,"Medium Spender"
13629,495.00,"Medium Spender"
13552,492.20,"Medium Spender"
14560,491.51,"Medium Spender"
17017,491.42,"Medium Spender"
12835,488.42,"Medium Spender"
15372,487.80,"Medium Spender"
15043,487.30,"Medium Spender"
12358,486.45,"Medium Spender"
13668,486.17,"Medium Spender"
16045,484.77,"Medium Spender"
16873,481.10,"Medium Spender"
15281,479.47,"Medium Spender"
15260,479.43,"Medium Spender"
13013,479.17,"Medium Spender"
12633,476.05,"Medium Spender"
18226,475.92,"Medium Spender"
14049,475.45,"Medium Spender"
15465,475.24,"Medium Spender"
13461,474.30,"Medium Spender"
13329,473.30,"Medium Spender"
15738,472.58,"Medium Spender"
15805,472.33,"Medium Spender"
14154,471.47,"Medium Spender"
18231,470.60,"Medium Spender"
13735,469.94,"Medium Spender"
18092,468.50,"Medium Spender"
13269,466.34,"Medium Spender"
12668,464.70,"Medium Spender"
17576,464.61,"Medium Spender"
17838,463.72,"Medium Spender"
15601,463.36,"Medium Spender"
17085,463.17,"Medium Spender"
15874,460.48,"Medium Spender"
12433,458.58,"Medium Spender"
17930,457.96,"Medium Spender"
14440,455.54,"Medium Spender"
16938,454.59,"Medium Spender"
14525,451.76,"Medium Spender"
14422,451.39,"Medium Spender"
16131,451.36,"Medium Spender"
14685,451.30,"Medium Spender"
12357,451.14,"Medium Spender"
16200,449.20,"Medium Spender"
15270,448.73,"Medium Spender"
12643,447.90,"Medium Spender"
14395,447.31,"Medium Spender"
13576,446.61,"Medium Spender"
12798,446.33,"Medium Spender"
17593,444.70,"Medium Spender"
16186,444.69,"Medium Spender"
17364,443.78,"Medium Spender"
15944,443.20,"Medium Spender"
12437,441.83,"Medium Spender"
14849,439.78,"Medium Spender"
14952,438.40,"Medium Spender"
16336,438.10,"Medium Spender"
14855,437.14,"Medium Spender"
15622,436.23,"Medium Spender"
14388,435.32,"Medium Spender"
16553,435.02,"Medium Spender"
17819,432.04,"Medium Spender"
15179,431.59,"Medium Spender"
15570,428.97,"Medium Spender"
14585,425.76,"Medium Spender"
14145,424.50,"Medium Spender"
16539,423.55,"Medium Spender"
13141,423.19,"Medium Spender"
13869,422.76,"Medium Spender"
13426,420.60,"Medium Spender"
12422,418.98,"Medium Spender"
17354,418.12,"Medium Spender"
13004,415.41,"Medium Spender"
13373,413.59,"Medium Spender"
16839,412.74,"Medium Spender"
16170,411.94,"Medium Spender"
17696,411.54,"Medium Spender"
17848,410.71,"Medium Spender"
14755,409.40,"Medium Spender"
12683,408.25,"Medium Spender"
15998,407.14,"Medium Spender"
18093,406.80,"Medium Spender"
13097,405.53,"Medium Spender"
17139,404.20,"Medium Spender"
14735,403.97,"Medium Spender"
15980,401.70,"Medium Spender"
13599,401.46,"Medium Spender"
13659,401.14,"Medium Spender"
12731,399.16,"Medium Spender"
14085,396.34,"Medium Spender"
13831,395.92,"Medium Spender"
17307,395.34,"Medium Spender"
16709,395.29,"Medium Spender"
17873,393.90,"Medium Spender"
16945,392.84,"Medium Spender"
17068,391.98,"Medium Spender"
15544,391.26,"Medium Spender"
14825,390.73,"Medium Spender"
15867,389.98,"Medium Spender"
16120,389.97,"Medium Spender"
14733,389.88,"Medium Spender"
12539,387.36,"Medium Spender"
16208,387.24,"Medium Spender"
17975,386.70,"Medium Spender"
17049,383.27,"Medium Spender"
16570,382.92,"Medium Spender"
16125,382.81,"Medium Spender"
14607,382.76,"Medium Spender"
15100,382.20,"Medium Spender"
14051,382.18,"Medium Spender"
17739,382.04,"Medium Spender"
12867,381.52,"Medium Spender"
13593,380.84,"Medium Spender"
14648,377.51,"Medium Spender"
13758,376.09,"Medium Spender"
15674,374.25,"Medium Spender"
14135,372.24,"Medium Spender"
15719,372.23,"Medium Spender"
18055,371.03,"Medium Spender"
