CustomerID,num_purchases,total_spending,customer_segment,avg_spending,estimated_lifetime_value
15838,3,5766.70,"High Spender",1922.23,46133.52
17940,3,4296.00,"High Spender",1432.00,34368.00
17369,1,979.20,"High Spender",979.20,23500.80
14308,1,849.45,"High Spender",849.45,20386.80
17857,1,766.70,"High Spender",766.70,18400.80
12823,1,765.00,"High Spender",765.00,18360.00
17450,4,4958.24,"High Spender",619.78,14874.72
16029,7,4287.00,"High Spender",612.43,14698.32
12980,1,559.20,"High Spender",559.20,13420.80
17876,1,530.00,"High Spender",530.00,12720.00
13902,3,3118.28,"High Spender",445.47,10691.28
15389,1,854.80,"High Spender",427.40,10257.60
12454,2,842.40,"High Spender",421.20,10108.80
17949,5,2085.00,"High Spender",417.00,10008.00
18102,31,19483.32,"High Spender",414.54,9948.96
13848,1,320.00,"Medium Spender",320.00,7680.00
15876,1,313.20,"Medium Spender",313.20,7516.80
14933,1,295.00,"Medium Spender",295.00,7080.00
15769,4,1442.40,"High Spender",288.48,6923.52
14866,1,279.00,"Medium Spender",279.00,6696.00
12557,1,537.66,"High Spender",268.83,6451.92
16754,8,2910.09,"High Spender",264.55,6349.20
14609,1,264.00,"Medium Spender",264.00,6336.00
13340,3,1530.10,"High Spender",255.02,6120.48
17133,4,1008.73,"High Spender",252.18,6052.32
17381,4,980.56,"High Spender",245.14,5883.36
16943,1,241.38,"Medium Spender",241.38,5793.12
12629,1,240.00,"Medium Spender",240.00,5760.00
12497,1,959.48,"High Spender",239.87,5756.88
13970,1,232.00,"Medium Spender",232.00,5568.00
18194,4,1326.00,"High Spender",221.00,5304.00
13687,1,1073.28,"High Spender",214.66,5151.84
14145,2,424.50,"Medium Spender",212.25,5094.00
12931,7,1687.02,"High Spender",210.88,5061.12
16684,15,8762.96,"High Spender",208.64,5007.36
18251,7,2455.88,"High Spender",204.66,4911.84
14063,3,613.60,"High Spender",204.53,4908.72
15588,1,204.00,"Medium Spender",204.00,4896.00
17941,1,204.00,"Medium Spender",204.00,4896.00
16013,5,972.75,"High Spender",194.55,4669.20
14088,2,1551.91,"High Spender",193.99,4655.76
16467,1,189.00,"Medium Spender",189.00,4536.00
16276,1,517.06,"High Spender",172.35,4136.40
13629,3,495.00,"Medium Spender",165.00,3960.00
16182,3,495.00,"Medium Spender",165.00,3960.00
17031,1,165.00,"Medium Spender",165.00,3960.00
14195,1,163.20,"Medium Spender",163.20,3916.80
15061,25,6539.20,"High Spender",152.07,3649.68
12643,2,447.90,"Medium Spender",149.30,3583.20
13694,35,11259.11,"High Spender",148.15,3555.60
13763,1,145.00,"Medium Spender",145.00,3480.00
17389,11,1965.64,"High Spender",140.40,3369.60
14926,1,139.20,"Medium Spender",139.20,3340.80
12356,2,549.42,"High Spender",137.36,3296.64
12415,4,1921.76,"High Spender",137.27,3294.48
15797,1,135.68,"Medium Spender",135.68,3256.32
15794,1,130.80,"Medium Spender",130.80,3139.20
13027,5,777.60,"High Spender",129.60,3110.40
12380,5,2057.21,"High Spender",128.58,3085.92
15268,1,127.50,"Medium Spender",127.50,3060.00
15100,2,382.20,"Medium Spender",127.40,3057.60
18229,2,247.80,"Medium Spender",123.90,2973.60
14646,41,14353.46,"High Spender",123.74,2969.76
15523,10,2221.47,"High Spender",123.42,2962.08
15372,1,487.80,"Medium Spender",121.95,2926.80
15043,3,487.30,"Medium Spender",121.83,2923.92
16913,1,121.68,"Medium Spender",121.68,2920.32
17382,1,238.68,"Medium Spender",119.34,2864.16
14835,1,118.80,"Medium Spender",118.80,2851.20
15380,1,118.80,"Medium Spender",118.80,2851.20
16191,5,1273.74,"High Spender",115.79,2778.96
17930,4,457.96,"Medium Spender",114.49,2747.76
16087,1,226.36,"Medium Spender",113.18,2716.32
13225,6,904.97,"High Spender",113.12,2714.88
12798,1,446.33,"Medium Spender",111.58,2677.92
15369,1,554.40,"High Spender",110.88,2661.12
12913,2,221.70,"Medium Spender",110.85,2660.40
15944,3,443.20,"Medium Spender",110.80,2659.20
14543,10,1106.25,"High Spender",110.63,2655.12
16915,2,219.75,"Medium Spender",109.88,2637.12
16656,5,539.76,"High Spender",107.95,2590.80
14045,3,321.12,"Medium Spender",107.04,2568.96
13935,2,962.10,"High Spender",106.90,2565.60
14258,11,1492.92,"High Spender",106.64,2559.36
15310,1,211.68,"Medium Spender",105.84,2540.16
12482,11,1582.80,"High Spender",105.52,2532.48
17919,1,103.68,"Medium Spender",103.68,2488.32
13777,9,1028.88,"High Spender",102.89,2469.36
13082,3,615.78,"High Spender",102.63,2463.12
17809,5,612.40,"High Spender",102.07,2449.68
13108,1,102.00,"Medium Spender",102.00,2448.00
15304,1,102.00,"Medium Spender",102.00,2448.00
18093,2,406.80,"Medium Spender",101.70,2440.80
16563,3,303.36,"Medium Spender",101.12,2426.88
15587,1,100.80,"Medium Spender",100.80,2419.20
17404,6,1206.96,"High Spender",100.58,2413.92
15251,5,802.90,"High Spender",100.36,2408.64
17307,3,395.34,"Medium Spender",98.84,2372.16
12873,1,98.10,"Low Spender",98.10,2354.40
12358,2,486.45,"Medium Spender",97.29,2334.96
15714,1,94.40,"Low Spender",94.40,2265.60
18092,4,468.50,"Medium Spender",93.70,2248.80
13410,2,186.60,"Medium Spender",93.30,2239.20
13209,2,185.80,"Medium Spender",92.90,2229.60
13688,1,92.50,"Low Spender",92.50,2220.00
13881,9,2127.19,"High Spender",92.49,2219.76
15759,1,91.80,"Low Spender",91.80,2203.20
15903,1,91.80,"Low Spender",91.80,2203.20
16568,1,91.80,"Low Spender",91.80,2203.20
17511,24,7331.06,"High Spender",91.64,2199.36
17681,1,90.00,"Low Spender",90.00,2160.00
13640,1,90.00,"Low Spender",90.00,2160.00
13798,21,2789.94,"High Spender",90.00,2160.00
13199,3,267.76,"Medium Spender",89.25,2142.00
17074,1,89.25,"Low Spender",89.25,2142.00
18087,4,534.14,"High Spender",89.02,2136.48
17743,1,88.50,"Low Spender",88.50,2124.00
15538,2,174.00,"Medium Spender",87.00,2088.00
14885,2,260.40,"Medium Spender",86.80,2083.20
12409,2,854.98,"High Spender",85.50,2052.00
13093,30,4565.11,"High Spender",83.00,1992.00
14463,1,81.75,"Low Spender",81.75,1962.00
14173,1,81.60,"Low Spender",81.60,1958.40
14987,1,81.60,"Low Spender",81.60,1958.40
17176,1,81.60,"Low Spender",81.60,1958.40
12709,11,2608.04,"High Spender",81.50,1956.00
16827,1,81.36,"Low Spender",81.36,1952.64
17008,1,81.36,"Low Spender",81.36,1952.64
16422,23,2349.64,"High Spender",81.02,1944.48
16584,3,242.46,"Medium Spender",80.82,1939.68
14062,8,966.53,"High Spender",80.54,1932.96
12638,1,80.00,"Low Spender",80.00,1920.00
12664,1,80.00,"Low Spender",80.00,1920.00
15400,2,159.90,"Medium Spender",79.95,1918.80
13197,1,79.90,"Low Spender",79.90,1917.60
15734,2,238.50,"Medium Spender",79.50,1908.00
14439,3,632.40,"High Spender",79.05,1897.20
12368,1,157.70,"Medium Spender",78.85,1892.40
13854,2,157.56,"Medium Spender",78.78,1890.72
18061,9,787.59,"High Spender",78.76,1890.24
17396,2,157.50,"Medium Spender",78.75,1890.00
15887,1,78.00,"Low Spender",78.00,1872.00
18051,2,233.28,"Medium Spender",77.76,1866.24
13106,1,308.96,"Medium Spender",77.24,1853.76
16652,5,848.84,"High Spender",77.17,1852.08
14676,3,230.52,"Medium Spender",76.84,1844.16
15042,1,76.32,"Low Spender",76.32,1831.68
15497,5,609.89,"High Spender",76.24,1829.76
18253,1,75.60,"Low Spender",75.60,1814.40
12971,6,751.70,"High Spender",75.17,1804.08
14828,4,300.66,"Medium Spender",75.17,1804.08
15221,2,224.25,"Medium Spender",74.75,1794.00
14160,4,746.34,"High Spender",74.63,1791.12
14513,1,74.25,"Low Spender",74.25,1782.00
12967,1,148.20,"Medium Spender",74.10,1778.40
14277,5,1769.32,"High Spender",73.72,1769.28
16985,5,513.80,"High Spender",73.40,1761.60
16336,4,438.10,"Medium Spender",73.02,1752.48
15934,2,145.44,"Medium Spender",72.72,1745.28
17819,3,432.04,"Medium Spender",72.01,1728.24
14101,4,285.64,"Medium Spender",71.41,1713.84
13859,1,142.80,"Medium Spender",71.40,1713.60
14202,1,71.40,"Low Spender",71.40,1713.60
15413,2,142.50,"Medium Spender",71.25,1710.00
13965,1,71.10,"Low Spender",71.10,1706.40
14014,2,213.30,"Medium Spender",71.10,1706.40
15946,2,142.20,"Medium Spender",71.10,1706.40
14585,4,425.76,"Medium Spender",70.96,1703.04
18028,1,70.80,"Low Spender",70.80,1699.20
13905,1,141.30,"Medium Spender",70.65,1695.60
