Description,month,total_quantity
"SET/6 STRAWBERRY PAPER CUPS",03,12960
"PACK OF 12 PINK PAISLEY TISSUES ",03,11016
"PACK OF 12 SKULL TISSUES",12,5232
"POP ART PEN CASE & PENS",08,5185
"BLACK SILVER FLOWER T-LIGHT HOLDER",08,4752
"RED POLKADOT PUDDING BOWL",09,3648
"GREEN FERN NOTEBOOK",02,3200
"ROTATING SILVER ANGELS T-LIGHT HLDR",10,3151
"BLUE PAISLEY NOTEBOOK",02,3040
"BLACK BIRD GARDEN DESIGN MUG",08,2976
"ESSENTIAL BALM 3.5g TIN IN ENVELOPE",11,2400
"CHERRY BLOSSOM LUGGAGE TAG",02,1800
"ASSTD DESIGN BUBBLE GUM RING",04,1560
"VINTAGE KITCHEN PRINT SEAFOOD",08,1536
"BOYS ALPHABET IRON ON PATCHES",11,1440
"ASSORTED FLOWER COLOUR "LEIS"""",01,1440
"MINI PAINT SET VINTAGE ",12,1394
"YELLOW BREAKFAST CUP AND SAUCER",09,1308
"COLOUR GLASS. STAR T-LIGHT HOLDER",10,1238
"HANGING JAM JAR T-LIGHT HOLDER",09,1164
"FAIRY CAKE CANDLES",12,1161
"FLORAL BATHROOM SET",09,1116
"ARMY CAMO WRAPPING TAPE",08,1104
"SMALL CHINESE STYLE SCISSOR",06,1000
"LARGE GLASS SUNDAE DISH CLEAR",03,992
"POP ART PUSH DOWN RUBBER ",08,960
"ASSTD DESIGN BUBBLE GUM RING",02,930
"FOLKART ZINC HEART CHRISTMAS DEC",10,902
"TRAVEL SEWING KIT",11,869
"PACK OF 60 DINOSAUR CAKE CASES",03,844
"PACK OF 72 SKULL CAKE CASES",11,829
"PACK OF 72 RETRO SPOT CAKE CASES",04,827
"72 SWEETHEART FAIRY CAKE CASES",08,772
"BROCADE RING PURSE ",08,720
"BROCADE RING PURSE ",05,720
"BROCADE RING PURSE ",04,720
"ZINC HEART LATTICE PLANTER BOWL",02,702
"72 SWEETHEART FAIRY CAKE CASES",06,672
"POLYESTER FILLER PAD 45x45cm",09,648
"PINK BLUE FELT CRAFT TRINKET BOX",12,628
"WRAP PINK FAIRY CAKES ",08,625
"ASSORTED COLOURS SILK FAN",05,624
"SET/6 RED SPOTTY PAPER CUPS",04,616
"JUMBO BAG RED RETROSPOT",10,616
"VINTAGE RED TEATIME MUG",06,612
"S/6 HALLOWEEN GHOST T LIGHTS, 5CM H",08,606
"EDWARDIAN PARASOL PINK",12,600
"SET 72 CAKE CASES VINTAGE CHRISTMAS",09,600
"DISCO BALL CHRISTMAS DECORATION",11,600
"PACK OF 72 RETRO SPOT CAKE CASES",12,588
"BOYS ALPHABET IRON ON PATCHES",12,576
"PACK OF 6 SKULL PAPER PLATES",09,576
"STRAWBERRIES  DESIGN FLANNEL ",12,576
"PACK OF 60 PINK PAISLEY CAKE CASES",01,576
"WRAP DAISY CARPET ",08,575
"ASSORTED FLOWER COLOUR "LEIS"""",07,570
"BLUE/PINK NEST STRIPE BOX",09,567
"60 CAKE CASES VINTAGE CHRISTMAS",10,564
"PAPER CHAIN KIT 50'S CHRISTMAS ",11,562
"WHITE HANGING HEART T-LIGHT HOLDER",04,560
"TRADITIONAL WOODEN CATCH CUP GAME ",11,541
"COOK WITH WINE METAL SIGN ",02,541
"SAVE THE PLANET MUG",04,536
"PACK OF 12 LONDON TISSUES ",06,528
"SMALL POPCORN HOLDER",06,516
"PACK OF 72 SKULL CAKE CASES",04,507
"MONSTERS STENCIL CRAFT",09,505
"SAVE THE PLANET MUG",05,504
"RAIN PONCHO RETROSPOT",10,504
