Description,month,total_quantity
"PACK OF 12 SKULL TISSUES",12,5232
"ESSENTIAL BALM 3.5g TIN IN ENVELOPE",11,2400
"BOYS ALPHABET IRON ON PATCHES",11,1440
"ASSORTED FLOWER COLOUR "LEIS"""",01,1440
"MINI PAINT SET VINTAGE ",12,1394
"FAIRY CAKE CANDLES",12,1161
"TRAVEL SEWING KIT",11,869
"PACK OF 72 SKULL CAKE CASES",11,829
"PINK BLUE FELT CRAFT TRINKET BOX",12,628
"DISCO BALL CHRISTMAS DECORATION",11,600
"EDWARDIAN PARASOL PINK",12,600
"PACK OF 72 RETRO SPOT CAKE CASES",12,588
"PACK OF 60 PINK PAISLEY CAKE CASES",01,576
"STRAWBERRIES  DESIGN FLANNEL ",12,576
"BOYS ALPHABET IRON ON PATCHES",12,576
"PAPER CHAIN KIT 50'S CHRISTMAS ",11,562
"TRADITIONAL WOODEN CATCH CUP GAME ",11,541
